text,label,sentiment
"#GCO : les écologistes strasbourgeois sont ""stupéfaits""  #Strasbourg #bisbilles #PS #EELV - http",2,positive
"#Strasbourg #GCO : les écologistes strasbourgeois sont ""stupéfaits"" ►► http #Alsace",0,negative
"Les Fermes en villes, 1er démonstrateur d'agriculture urbaine en économie circulaire  http #ecologie Mediaterre",1,neutral
#Bâtiment #Economie 1 800 Eco-Ecoles s'emparent du développement durable http,2,positive
#biodiversité Les pêcheurs artisanaux de plus en plus menacés dans le monde - Magazine GoodPlanet Info http,0,negative
"@user agit avec la @user pour la #biodiversité dans le Lot : dispositifs sur lignes électriques, actions de sensibilisation",1,neutral
L'Agence marocaine de l'énergie solaire crée une nouvelle filiale - Aujourd'hui Le Maroc http #solaire,2,positive
@user complice du déboisement de la forêt de #Sivens selon les opposants au #barrage #Tarn #écologie http,0,negative
Les liens entre langues et biodiversité démontrés par une nouvelle étude du WWF http,1,neutral
"Les mini-maisons, moins chères et plus écologiques via Radio-Canada Mobile http",2,positive
#biodiversité La France durcit la lutte contre la pêche illicite http,0,negative
Facilité Energie Renouvelable de la CEDEAO (EREF) pour zones rurales et péri-urbaines - Second appel à propositions http,1,neutral
Des #pneus recyclés pour produire... des #batteries lithium-ion http #energie #Environnement @user,2,positive
Le réchauffement climatique n’a pas que des inconvénients : un archipel anti-israélien pourrait bientôt disparaître ! http,0,negative
@user Paris Plage c'est surtout pas écologique...,1,neutral
Rechauffement climatique : des courants marins empêchent la hausse des températures à la surface du globe http,2,positive
"Je n'ai vu AUCUN sujet sur l'environnement, le développement durable ; à se demander pourquoi c'est au programme :/",0,negative
Les eurodéputés Europe Ecologie solidaires de la population à Gaza http @user @user @user @user,1,neutral
"Sangliers, Bouquetins .... la Grand Faune Sauvage fait la Une du Monde ! http",2,positive
La France durcit la lutte contre la pêche illicite: Le ministre des Affaires étrangères Laurent Fab... http #écologie,0,negative
Le ministère de l'#Ecologie a mis en ligne son site internet GéoRisques : http,1,neutral
"Les employés des #entreprises ""vertes"" sont significativement plus #productifs | @user #normes http",2,positive
Polémique autour de l’abattage massif de bouquetins en Haute-Savoie. http,0,negative
Minorque : des éoliennes pour financer l'éclairage routier http,1,neutral
Des éoliennes moins bruyantes... Grace au hibou. http @user #innovation #energie,2,positive
"Corrompus, voleurs et bandits au pouvoir...  ""Malgré l’issue défavorable pour les requérants, ceux-ci s’estiment... http",0,negative
L'unité de production n°4 de la centrale de #cruas #Meysse est de retour sur le réseau électrique. Toutes les infos : http,1,neutral
"Barrage de Sivens : Non à la répression, oui à l’intérêt général | Europe Écologie Les Verts http via @user",2,positive
"Du rapport complexe entre environnement et intérêt économique.Ici on réintroduit le bouquetin, plus loin on éradique http",0,negative
@user et @user ds dernier numéro de @user #PSE #biodiversité #CasPratique http,1,neutral
La Californie vient d'interdire la distribution de sacs plastiques ! #ecologie  http @user,2,positive
[Focus sur les énergies renouvelables ! Indépendance énergétique ! Non au gaz russe ! ] http,0,negative
La ville #ecosysteme du XXIème siècle http via @user,1,neutral
"@user @user @user OUI, bobos au service du PS! EELV ne sert à rien politiquement ( 3 %) alors que 90% des FRA aiment l'écologie",2,positive
"Ds mag ""Ecologiste"": tactiques lobbies #pecheprofonde pr discréditer ONG, financements obscurs de @user rôle Mairie #Lorient etc.",0,negative
#Portrait de la Linaigrette (plante) - Le journal de la Biodiversité http,1,neutral
le mit recycle les vieilles batteries pour créer des panneaux solaires http #Jeux,2,positive
"@user Je saisis pas cmt ils ont pu faire une bourde pareille moi. En écologie, après le photovoltaïque, c'est qd mm du gros plantage.",0,negative
@user aussi #logique qu'un #aéroport écologique #biodévastateur sur une #ZoneHumide ! #CQFD #NDDL,1,neutral
1 800 Eco-Ecoles s'emparent du développement durable ! http #Environnement #Education #Ecologie,2,positive
Réchauffement climatique: il est grand temps d'agir | Ban Ki-moon http #EELV,0,negative
Les librairies Decitre renouvellent les prêts d... http,1,neutral
[ENERGIE] La solution Gemalto de connectivité M2M permet d'approvisionner en énergie verte les collectivités... http,2,positive
"Polémique autour de l’abattage massif des bouquetins de Haute-Savoie: Pour lutter contre la brucellose, le pré... http",0,negative
#Portrait de la Chouette de Tengmalm-  Le journal de la Biodiversité http,1,neutral
Énergie solaire. Un champ de 17 300 panneaux bientôt opérationnel  http #energie #solaire,2,positive
"RT @user : ""Polémique autour de l’abattage massif des bouquetins de Haute-Savoie"" http",0,negative
Vidéo La ville écosystème du XXIème siècle http via @user,1,neutral
"Energies renouvelables: le Brésil, leader mondial en matière de création d'emplois (Etude) http @user #ENR",2,positive
Heurs et malheurs du combat écologiste mondial #rubrique Economie http via @user,0,negative
Les algues de retour à Trezmalaouen !! #douarnenez #alguesvertes  http http,1,neutral
Land art par un artiste Hollandais .. qui aurait pu sauver un  accée écologiste à la plage de Piemanson qui sera... http,2,positive
Polémique autour de l’abattage massif des bouquetins de Haute-Savoie  http,0,negative
#Biodiversité de Nuages http http,1,neutral
« Ne faisons pas l’économie de l’écologie » - ma tribune publiée aujourd'hui dans paris-normandie.fr http,2,positive
( #WeoCristian ) Polémique autour de l’abattage massif des bouquetins de Haute-Savoie: Pour l... http ( #WeoCristian ),0,negative
Les eurodéputés #EELV solidaires de la population à Gaza http,1,neutral
"@user : ""les écolos seront  là quand il faudra défendre la biodiv et lutter contre le réchauffement climatique"" #sivens #sudradio",2,positive
À la #une : Polémique autour de l’abattage massif des bouquetins de Haute-Savoie http #topstories,0,negative
"A 500 jours de la Conférence sur le climat de Paris 2015, les écologistes européens ont un message clair:... http",1,neutral
"Réchauffement climatique: il est grand temps d'agir. Plus nous attendons, plus l'addition sera élevée (Ban Ki-moon) http",2,positive
"#Climat ""Plus ns attendons, plus l'addition sera élevée"" il y a urgence! L'appel de #BanKiMoon @user http #Paris2015",0,negative
Permis cassé pour les éoliennes de Grandrieu http,1,neutral
#LT @user Et ces potentiels sont énormes. C'est un très beau défi à relever. Oui à l'#ecologie pragmatique !,2,positive
Le projet de géothermie profonde qui inquiète les élus de Haute-Savoie (via @user)  http,0,negative
#biodiversité Les îles Eparses: un peu d'histoire et de géographie http,1,neutral
Réchauffement climatique: il est grand temps d’agir | Ban Ki-moon http http,2,positive
"Cohn Bendit a tout faux, les énergies renouvelables ""qui ne coûtent rien"" ont besoin d'installation dont les couts &gt; rendements  #E1matin",0,negative
#ecologie Rencontre des amis de Silence http,1,neutral
Technicien en entretien d'éoliennes: défier les hauteurs http,2,positive
"Gros mensonges du ""RÉCHAUFFEMENT CLIMATIQUE"" http",0,negative
"Nouveau Quizz Nature, écologie de 8 questions &gt; J'ai photographié pour vous dans les marais de Guérande http",1,neutral
"&gt;&gt; Du mazout à la géothermie : ""Le projet d'Ecosystem reçoit une aide énergisante!"" http @user",2,positive
"La réglementation, un frein pour le développement mondial des énergies renouvelables ? #ENR http",0,negative
"@user en visite à #saintmalo : ""La Bretagne, pépinière du développement durable"".http http",1,neutral
Un préjudice écologique important - http #GoogleAlerts,2,positive
Revers pour les environnementalistes qui tentaient de stopper les travaux #TransCanada à Cacouna. @user=&gt; http,0,negative
#Nouveauté #Changes #2: Couches Bio Baby Écologiques jetables biodégradables Lot de 1... http #Change #Bébé #Bébés,1,neutral
"Ségolène royal, reconduite dans ses fonctions : Les professionnels des énergies renouvelables rassurés - http",2,positive
Il faut immédiatement et définitivement mettre fin au braconnage de cette espèce menacée #ortolan http Cc @user,0,negative
"""L'écosystème des #startup reste très franco-français"" #thinkbig #newmedia #teasing http",1,neutral
"Pour la moitié de l’humanité, le #solaire est l’#énergie la moins chère http via @user",2,positive
L'armée française en guerre contre le vent ... Ecologie vs. Défense. Le dialogue s' impose! article @user 1/09 http,0,negative
#Transition_ecologique et #énergétique : les contrats de plan Etat-Régions effectifs en 2015 http via @user,1,neutral
"@user au Parlement européen, l'aventure continue! Retrouvez notre brochure de présentation de la... http",2,positive
"Eh, les gars, ni les #ballons, ni les #éoliennes ne sont des #monstres ...  Faire l'erreur en 1783, bon ... mais être aussi obtus en 2014 ..",0,negative
@user On croise les doigts pour que les questions sur l'écologie n'apparaissent pas.,1,neutral
"@user En Champagne-Ardenne, y a des éoliennes partout, on se fait au paysage… C’est pas plus moche qu’une tour de refroidissement 😂",2,positive
Réchauffement #climatique: il est grand temps d'agir - #BanKiMoon via @user @user @user @user,0,negative
Responsabilité Sociale de l'Entreprise et Développement Durable http #Defensiveend #Business #DataEncryptionStandard,1,neutral
Les jeunes UDC lancent un site qui permet de dénoncer les profs qui parleraient trop du réchauffement climatique.  http,2,positive
#USA : la #Californie bannit les sacs plastique | Les Echos http #distribution #écologie,0,negative
"#FF @user Car, il n’y a qu’un écosystème compatible avec la vie humaine. Donc tous les êtres humains sont semblables... #FDG",1,neutral
Les rues de Charm el-Cheikh éclairées par l’énergie solaire http,2,positive
"@user @user @user @user, lamentable ministre écologie prônant chasse, corrida, gavage des oies et autres horreurs",0,negative
#Packaging : Un emballage écologique conçu avec du sable http  #design,1,neutral
"L'objectif: faire de la #Martinique une ""île durable, territoire à énergie positive pour la croissance verte"". #DéveloppementDurable",2,positive
#Santé Une association vosgienne va déposer un recours contre le parc éolien d'Esley. En cause : les infrasons - http,0,negative
Une nouvelle norme en responsabilité sociale (5e parution d'une série de 6) http via @user,1,neutral
"Sinon, le réchauffement de la planète, l'été, c'est bien aussi.",2,positive
"R chauffement climatique: il est grand temps d'agir: D s mon entr e en fonction, en 2007, le r chauffe... http #climat",0,negative
"Tâche ""Énergie solaire"" terminée http #Android #AndroidGames #gameinsight",1,neutral
Energizer Night Race : une course de nuit pour sensibiliser à l’utilisation de l’énergie solaire http,2,positive
"Madame Ségolène Royale, ministre de l'écologie et du développement durable : Non, à la destruction des ""nuisibles"" http",0,negative
Les #zoneshumides camarguaises au centre d'une exposition en #Chine  http #camargue #provence #biodiversité,1,neutral
Toute l'électricité qui alimente le site Netick provient d'énergies renouvelables.  http http,2,positive
Dangers sur la biodiversité martiniquaise http #Biodiversité #Animaux #LaMartinique #Ecologie #Environnement,0,negative
"EMPLOI: emplois et écologie, ou comment faire d'une pierre deux coups EMPLOYMENT: Jobs and ecology, or how to kill two birds with one stone",1,neutral
#Arcachon Les avis divergent sur l’avenir du banc d’Arguin: Les écologistes ont émis un avis favorable au proj... http,2,positive
"Réchauffement climatique et d'autres problème du changement climatique affecte tout le monde #jusqu'à un certain, http",0,negative
La version complète du bilan énergétique 2013 (164 pages) est ici http cc @user,1,neutral
Leclanché et l’EPFL innovent pour stocker l’énergie solaire - http,2,positive
Le manque d'innovation menace la croissance - le Monde | @user http,0,negative
Le décret sur l'Eco-PTZ et le crédit d'impôt développement durable est paru #immo #defiscalisation via @user http,1,neutral
#MarinaSilva l écologiste donnée gagnante avec 10 points d avance au Brésil au 2ème tour de la présidentielle #lechangement...,2,positive
"«Réchauffement climatique: il est grand temps d’agir», l’appel de Ban Ki-moon / @user http",0,negative
Bilan énergétique 2013 pour la France maintenant disponible auprès du CGDD http via @user,1,neutral
« Remaniement : les professionnels des énergies renouvelables rassurés » | http via @user,2,positive
1 300 espèces menacées : comment les oiseaux sont en train de disparaître ... http #Ecologie-conso-biodiversité-énergie,0,negative
Responsabilité Sociale de l'Entreprise et Développement Durable | @user http,1,neutral
"Les peuples du Nord et du Sud doivent s' unir, les défis écologiques actuels leur offrent l'opportunité @user  http",2,positive
1300 espèces menacées:Les oiseaux sont en train de disparaître dans l'indifférence générale | Atlantico.fr http via @user,0,negative
Nouveau salon en préparation ! #GoLondon #Organic http  @user #MadeinFrance #London #naturel #écologie #beauté,1,neutral
@user  Nous OFFRONS des FOURNITURES  ÉCOLOGIQUES sur notre site http http,2,positive
"@user Ouais, et ""les éoliennes au large des côtes, c'est moche"". (Vrai argument pro-nucléaire :'D)",0,negative
RT @user : #innovation Un arbre d'eau urbain réservé à la faune et flore http … #écologie #ville #greencities,1,neutral
Un modèle interactif pour comprendre les mécanismes du réchauffement climatique http #DD #durable,2,positive
@user  @ FBB_PORTEPAROLE S.Royal fait abattre les loups espèce protégée. Peut on la traduire en justice pour cette infraction ?,0,negative
Le dialogue 2014 de Petersberg sur le climat (14/15 juillet)  (via @user) http #COP21 #ParisClimat2015,1,neutral
"Décollage : en France, la production des éoliennes a augmenté de 19% en un an http http",2,positive
"Les Verts Suisse | Malgré les belles promesses écologistes, la majorité refuse de s'engager pour une économie verte /gruene/fr/positions/...",0,negative
#politique#antifa [encore un cliché qui tombe] New York: la meilleure école est…noire!:   I... http #ecologie#histoire,1,neutral
Supplyeo - Article - SATO présente des solutions efficaces et écologiques au POST-EXPO 2014 http,2,positive
"@user ""Nous portons un regard très critique sur le projet de loi de transition énergétique"" http @user",0,negative
Les pôles Nord- Sud invités à participer à ParisClimat 2015.  Cf rapport @user sur l'Arctique @user I http,1,neutral
Duflot prône les énergies renouvelables et  ELLE sans énergie n est pourtant PAS RENOUVELÉE,2,positive
RT @user 1 300 espèces menacées. Comment les oiseaux st en train de disparaître ds l'indifférence générale http,0,negative
Bilan #énergie de la #France en 2013 : une hausse due aux températures froides du début de l'année http,1,neutral
Écologistes! Le Pape François promet une encyclique sur la préservation de la création | http,2,positive
1 300 espèces menacées : comment les oiseaux sont en train de disparaître  | from http http,0,negative
Décret  econditionnalité  bâtiment par #royalsegolene http via mastère BE+ @user,1,neutral
Le 'chat le plus triste du monde' reçoit des milliers de demandes d'adoption http,2,positive
Rt @user: 1 300 espèces menacées : comment les oiseaux sont en train de disparaître (...) #ecocide http,0,negative
Les métiers de la coopération int. à #Genève en vidéo: cheffe de projets écosystèmes @user - http,1,neutral
"Le ""chat le plus triste du monde"" est très demandé http",2,positive
"@user Les écologistes,les syndicats,les politiciens, ne créer aucune richesses.",0,negative
Chine :  des milliers de fossiles vivants ressortent à cause des pluies | @user http,1,neutral
Ecogestes dans... ma chambre. Voici la deuxième série de conseils écologiques respectueux de notre environnement  http,2,positive
#TransCanada: la Cour rejette la requête des écologistes http,0,negative
Plus d'infos sur http #energie #travaux #rénovation #RGE  #CIDD #EcoPTZ via @user,1,neutral
"""Si #nddl n'est pas construit c'est grâce à action conjuguée de militant-es sur terrain et d'ecologistes au gouvernemt"" @user #ONPC",2,positive
#TransCanada: la Cour rejette la requête en injonction des écologistes - LaPresse.ca http,0,negative
#DD Les entreprises et les consommateurs ne seraient pas sur la même longueur d'onde http @user,1,neutral
"Le gouvernement wallon renonce aux objectifs de production d'énergie renouvelable, ""trop ambitieux et dogmatiques"" http",2,positive
@user @user l iphone 6 sera t elle l annonce la plus intéressante ? J en doute... #objetsconnectés #ecosysteme #NFC,0,negative
#hydroélectricité #énergie #patrimoine Visite de la centrale hydro- électrique de la SHEM http #Toulouse,1,neutral
Merci à ceux qui font le ice bucket challenge ça aide (un peu) à contrer le réchauffement climatique.,2,positive
ONVPSM On peut aussi tjs espérer une remise en question de notre majorité vers la gauche et les écologistes @user #uniondelagauche”,0,negative
"Qmilch, un tissu écologique à base de lait #economiecirculaire #LivingCircular http",1,neutral
"#UEPS2014 Cosse""les écologistes""""ce sont des gens loyaux""  #viveLabstentionDynamiqueQuiSertàRien",2,positive
"Rentrée verte, croissance inerte -TSE http via @user #énergie #climat #économie",0,negative
ARCHITECTURE • 20 projets d'habitat collectif à énergie solaire | Courrier international http,1,neutral
"""Rien de grand dans notre pays ne peut se faire sans l'unité des forces de gauche et écologistes"" @user #UEPS2014",2,positive
"Au Kenya, des techniques commando contre les braconniers  - Page 5#27435#27435#27435#27435 http",0,negative
Vapodil 2 Présentation du procédé de nettoyage écologique http,1,neutral
"Plénière sur le défi climatique aux #UEPS, pour que le PS et la gauche soient aussi écologiques que les enjeux l'imposent. #Paris2015",2,positive
1 300 espèces menacées : comment les oiseaux sont en train de disparaître dans l'indifférence générale  #monde,0,negative
#TDF : La Chouette de Tengmalm (Le Tour de France de la #biodiversité 14/21) http,1,neutral
"""@user: En @user, les écologistes agissent pour le climat. http poke @user",2,positive
POLITIQUE - L’ancienne ministre écologiste du gouvernement critique la politique du Premier ministre… http,0,negative
"Pour les distraits qui n'auraient pas pris le temps de mettre de la crème solaire sous ce généreux soleil,... http",1,neutral
#Trafigura &amp; Probo Koala / Rebondissement dans l'affaire des déchets toxiques - Le Quotidien du... http,2,positive
@user @user @user après des années d escroquerie énergétique par nos éoliennes longtemps non rentables!,0,negative
"Le CFA Régional des Métiers de l’Environnement et du Développement Durable, propose, depuis septembre 2010, une... http",1,neutral
Corinne Lepage : Investir dans les énergies renouvelables - Journal des Professionnels  En matière d'énergies... http,2,positive
"#TSEDebate nouveau billet : Rentrée verte, croissance inerte CCrampes et TLeautier http #energie #economie #politique",0,negative
"Pétrole trouvé sur une plage aux Îles de la Madeleine, présent sur le sable et dans l'eau. #environnement #ecologie http",1,neutral
La croissance des énergies renouvelables devrait ralentir d'ici 10 ans - EurActiv France: EurA... http #energie #futur,2,positive
"RT  @user 1 300 espèces menacées,comment les #oiseaux sont en train de disparaître ds l'indifférence générale http",0,negative
"@user @user @user Pas forcément. C’est la vache qui n’émet ni méthane, ni autres gaz à effet de serre. Mais des ondes EM, si ;)",1,neutral
Merci à tous les pompiers @user pour garantir la diversité de l’écosystème de la forêt boréale http,2,positive
"""Le coût élevé des sources d’énergie alternative reste un problème qui n’a pas été résolu."" http",0,negative
SAVEtheDATE #Paris 14/15 octobre - Colloque national Filières et Recyclage http cc @user A relire http,1,neutral
"á lire ""Les énergies #renouvelables: la seule voie vers un système énergétique sûr, abordable.."" @user   http",2,positive
martinique 1ère – Lutter contre le réchauffement climatique et réduire la facture énergétique,0,negative
"Ségolène Royal, ministre de l'Écologie et du #DD, se rendra les 19 et 20 juillet dans le Parc National des Pyrénées http",1,neutral
"""Mettre en mouvement ceux qui estiment qu'on a confisqué leur vote de 2012, PS, écologistes, Front de Gauche"" Amirshahi Député PS",2,positive
300 espèces menacées : comment les oiseaux sont en train de disparaître dans l’indiffé rence générale... http,0,negative
"@user @user Cfr installation éoliennes, expropriations pour utilité publique ...",1,neutral
Remaniement : les professionnels des énergies renouvelables rassurés - http,2,positive
@user @user @user des écologistes au gouvernement égal déception rien ne se passe mais la terre elle se détériore ....,0,negative
Changement climatique : place aux #innovations http,1,neutral
Impression 3D innovateurs invités à appliquer Visitez Start-Up de l'écosystème de Chattanooga - Impression... http,2,positive
martinique 1ère – Lutter contre le réchauffement climatique et réduire la facture én ergétique http,0,negative
"L’écologie est une science, pas un thème politique !  http",1,neutral
#PERONNE Arbres coupés et stationnement interdit pour laisser passer les convois d'éoliennes vendredi http,2,positive
"La sobriété écologiste ! ;-) @user: Bon faut avouer, à la pêche, Poutine est bien plus fort que @user http",0,negative
Comme si le marché de la voiture électrique avait besoin de problèmes supplémentaires... #ecologie  http,1,neutral
Formation aux rencontres écologiques d'été avec un futur eurodéputé espagnol issu des Indignés. Passionnant! #ree14 http,2,positive
Comment peut-on sauver le monde du réchauffement planétaire ?  — On tue la moitier de la population au calme http,0,negative
Les Chinois s'emparent du marché naissant des énergies vertes en Afrique http via @user,1,neutral
Remaniement : les professionnels des énergies renouvelables rassurés http via @user,2,positive
"@user Syndicats, lobby et écologistes bloquent tout développement au QC #ceic #plq",0,negative
"La rôteuse belge arrive, #Crémant, #vin, #vignes, #éoliennes #Quévy, #PorteNaouakCesWallons  http via @user",1,neutral
Ouverture de la 6ème édition des Trophées des Energies Renouvelables et de l’Efficacité Energétique http,2,positive
Les photos de Garth Lenz sur comment notre appétit d'énergie défonce l'environnement. Et je ne parle pas d'éoliennes http,0,negative
"Levées de fonds  17 % en europe mais l’écosystème reste très franco-français, avec des investisseurs locaux #startup…http",1,neutral
NEWS Eolien: Remaniement : les professionnels des énergies renouvelables rassurés: Alors qu'Emmanuel Macron pr... http,2,positive
Bahamas: victime oubliée du réchauffement climatique? http,0,negative
Nouveau post: Isolation écologique http,1,neutral
Le maintien de @user rassure les professionnels des énergies renouvelables http http,2,positive
#Tunisie:3 mois de prison pour toute personne jetant les ordures n’importe où :) ..OK bien et pour les déchets radio-actifs et toxiques ?,0,negative
Biodiversité : Nefab a choisi d'en faire son miel. #LoirEtCher http,1,neutral
@user Merci pour le RT ! Nous avons hâte de lever le voile sur l'écosystème startup en zone caraïbes !,2,positive
"@user @user @user Sans compter les systèmes embarqués autom, avion, train, et les débits insuffisants, zones blanches, éoliennes",0,negative
"RT @user Les priorités du @user : banques, chômage, changement climatique &amp;amp; énergie : http",1,neutral
Madagascar : les organisations écologiques exigent l'arrestation ... - http http,2,positive
#biodiversité 1 300 espèces menacées : comment les oiseaux sont en train de disparaître dans l'indifférence générale http,0,negative
"Les priorités du @user : banques, chômage, changement climatique &amp; énergie sont dans notre interview : http",1,neutral
Dix ans d'engagement pour la gauche et les écologistes. Sans compter. Sans souffler. Pour en arriver là... (et p. 12) http,2,positive
Regarder une vidéo sur le réchauffement climatique. Lire les commentaires et halluciner. Certains ne croient pas que le CO2 en est une cause,0,negative
Documentaire : Être sans avoir | @user http,1,neutral
#ecologie Transition énergétique : le maintien de Ségolène Royal rassure écologistes et industriels http,2,positive
1 300 espèces menacées : comment les oiseaux sont en train de disparaître http via @user,0,negative
Biodiversité noooon c'est trop la,1,neutral
"Guide #gratuit des petites rénovations #ecologiques, saines et accessibles http",2,positive
@user @user @user Les écologistes devraient s'éloigner au plus vite de la plus grosse escroquerie du siècle #climat,0,negative
#PrenomCongolais Rechauffement climatique,1,neutral
Les #energies #renouvelables commencent a briller   #photovoltaique #pv #TransitionEnergetique http http,2,positive
Le trait est grossi mais la série est très juste sur la description de l'écosystème IT. Très drôle avec un cast au poil. #siliconvalley,0,negative
Biodiversité je m'en remettrais jamais je crois ptdrrrrr,1,neutral
"Et ce discours ne choque personne  Manuel Valls semble assumer ses choix, comme l’absence d’écologistes au... http",2,positive
@user Éoliennes: le rêve non rentable du PQ et du PLQ http,0,negative
"Permaculture, chez Nicolas Pezeril dans le morvan (montagne) | @user http",1,neutral
@user @user  pour mettre des éoliennes partout! Des vrais solutions pas des pansement pour se donner bonne conscience ! 2/3,2,positive
L'intervention de Cécile Duflot dans #ONPC confirme un vieux ressenti : je pense que les écologistes méritent mieux qu'eux-mêmes.,0,negative
Ecologie Politique est sorti de presse! http,1,neutral
9700 abonnés pr Jean David Chamboredon investisseur en accord av son écosystème @user #entrepreneur #Paroles2CEO http,2,positive
"En plus d'être une mauvaise écologiste, ministre c'est aussi une mauvaise politique. #Triste",0,negative
Annonce immobilière : 'Vente Maison - CHAMESOL - nb pièce(s) : 5 - surface : 105m2' - http,1,neutral
#innnovation: Un spray de peinture contenant des capteurs solaires ! Et mois cher que le silicium ! @user http,2,positive
"Ce moment surréaliste où @user t'explique que pour faire battre Sarkozy en 2012, elle a renoncé à ses convictions écologistes. #ONPC",0,negative
Les entreprises et l’adaptation au changement climatique : un guide pratique http #Management #SESS.A.,1,neutral
"NEMO, un projet pour fabriquer de l'électricité grâce à l'océan http #Sortirdunucléaire #Renouvelable #EDF",2,positive
Ecologistes et communistes sans merci à La Rochelle - Libération http,0,negative
7 Principes de l’Engagement RSE du Dirigeant http #Domestication #Editing #Oilsands #Hardwater #SandsHotelandCasino,1,neutral
L'Arctique attise les convoitises européennes @user http,2,positive
